epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.0251,0.88413,0.9075,1,0.28211,0.000414815,0.000414815,0.000414815
1,79.2015,0.8487,0.8875,1,0.32042,0.000414815,0.000414815,0.000414815
2,157.649,0.41739,0.91,1,0.22855,0.000557093,0.000557093,0.000557093
3,236.213,0.31317,0.9225,1,0.20202,0.00042437,0.00042437,0.00042437
1,68.414,0.89409,0.86528,1,0.38091,0.000414352,0.000414352,0.000414352
2,136.484,0.42895,0.88194,1,0.32041,0.000556782,0.000556782,0.000556782
3,204.132,0.33124,0.90556,1,0.27198,0.000424213,0.000424213,0.000424213
1,85.2414,0.86157,0.88117,1,0.32598,0.000414738,0.000414738,0.000414738
2,170.571,0.43344,0.93056,1,0.22731,0.000557041,0.000557041,0.000557041
3,256.607,0.31797,0.94522,1,0.16699,0.000424344,0.000424344,0.000424344
